title,book,author
The Choice: Embrace the Possible by Dr. Edith Eva Eger,The Choice: Embrace the Possible , Dr. Edith Eva Eger
Cloud Atlas by David Mitchell,Cloud Atlas , David Mitchell
The Ride of a Lifetime by Robert Iger,The Ride of a Lifetime , Robert Iger
The Great Influenza by John M. Barry,The Great Influenza , John M. Barry
Good Economics For Hard Times by Abhijit V. Banerjee and Esther Duflo,Good Economics For Hard Times , Abhijit V. Banerjee and Esther Duflo
The Martian by Andy Weir,The Martian , Andy Weir
The Rosie Project by Graeme Simsion,The Rosie Project , Graeme Simsion
The Best We Could Do by Thi Bui,The Best We Could Do , Thi Bui
An American Marriage by Tayari Jones,An American Marriage , Tayari Jones
These Truths by Jill Lepore,These Truths , Jill Lepore
Growth by Vaclav Smil,Growth , Vaclav Smil
Prepared by Diane Tavenner,Prepared , Diane Tavenner
Why We Sleep by Matthew Walker,Why We Sleep , Matthew Walker
Upheaval by Jared Diamond,Upheaval , Jared Diamond
Nine Pints by Rose George,Nine Pints , Rose George
A Gentleman in Moscow by Amor Towles,A Gentleman in Moscow , Amor Towles
Presidents of War by Michael Beschloss,Presidents of War , Michael Beschloss
The Future of Capitalism by Paul Collier,The Future of Capitalism , Paul Collier
Educated by Tara Westover,Educated , Tara Westover
Army of None by Paul Scharre,Army of None , Paul Scharre
Bad Blood by John Carreyrou,Bad Blood , John Carreyrou
21 Lessons for the 21st Century by Yuval Noah Harari,21 Lessons for the 21st Century , Yuval Noah Harari
The Headspace Guide to Meditation and Mindfulness by Andy Puddicombe,The Headspace Guide to Meditation and Mindfulness , Andy Puddicombe
Leonardo da Vinci by Walter Isaacson,Leonardo da Vinci , Walter Isaacson
Everything Happens for a Reason and Other Lies I’ve Loved by Kate Bowler,Everything Happens for a Reason and Other Lies I’ve Loved , Kate Bowler
Lincoln in the Bardo by George Saunders,Lincoln in the Bardo , George Saunders
Origin Story: A Big History of Everything by David Christian,Origin Story: A Big History of Everything , David Christian
"Factfulness by Hans Rosling, with Ola Rosling and Anna Rosling Ronnlund",Factfulness ," Hans Rosling, with Ola Rosling and Anna Rosling Ronnlund"
The Best We Could Do by Thi Bui,The Best We Could Do , Thi Bui
Evicted: Poverty and Profit in the American City by Matthew Desmond,Evicted: Poverty and Profit in the American City , Matthew Desmond
"Believe Me: A Memoir of Love, Death, and Jazz Chickens by Eddie Izzard","Believe Me: A Memoir of Love, Death, and Jazz Chickens ", Eddie Izzard
The Sympathizer by Viet Thanh Nguyen,The Sympathizer , Viet Thanh Nguyen
Energy and Civilization: A History by Vaclav Smil,Energy and Civilization: A History , Vaclav Smil
Born a Crime by Trevor Noah,Born a Crime , Trevor Noah
The Heart by Maylis de Kerangal,The Heart , Maylis de Kerangal
Hillbilly Elegy by J.D. Vance,Hillbilly Elegy , J.D. Vance
Homo Deus by Yuval Noah Harari,Homo Deus , Yuval Noah Harari
A Full Life by Jimmy Carter,A Full Life , Jimmy Carter
String Theory by David Foster Wallace,String Theory , David Foster Wallace
Shoe Dog by Phil Knight,Shoe Dog , Phil Knight
The Gene by Siddhartha Mukherjee,The Gene , Siddhartha Mukherjee
The Myth of the Strong Leader by Archie Brown,The Myth of the Strong Leader , Archie Brown
The Grid by Gretchen Bakke,The Grid , Gretchen Bakke
Seveneves by Neal Stephenson,Seveneves , Neal Stephenson
How Not to be Wrong by Jordan Ellenberg.,How Not to be Wrong , Jordan Ellenberg.
The Vital Question by Nick Lane,The Vital Question , Nick Lane
The Power to Compete by Ryoichi Mikitani and Hiroshi Mikitani,The Power to Compete , Ryoichi Mikitani and Hiroshi Mikitani
Sapiens by Noah Yuval Harari,Sapiens , Noah Yuval Harari
The Road to Character by David Brooks,The Road to Character , David Brooks
Thing Explainer: Complicated Stuff in Simple Words by Randall Munroe,Thing Explainer: Complicated Stuff in Simple Words , Randall Munroe
Being Nixon: A Man Divided by Evan Thomas,Being Nixon: A Man Divided , Evan Thomas
"Sustainable Materials With Both Eyes Open by Julian M. Allwood, Jonathan M. Cullen, et al.",Sustainable Materials With Both Eyes Open ," Julian M. Allwood, Jonathan M. Cullen, et al."
Eradication: Ridding the World of Diseases Forever? by Nancy Leys Stepan,Eradication: Ridding the World of Diseases Forever? , Nancy Leys Stepan
Mindset: The New Psychology of Success by Carol S. Dweck,Mindset: The New Psychology of Success , Carol S. Dweck
Hyperbole and a Half by Allie Brosh,Hyperbole and a Half , Allie Brosh
The Magic of Reality by Richard Dawkins,The Magic of Reality , Richard Dawkins
What If? by Randall Munroe,What If? , Randall Munroe
XKCD by Randall Munroe,XKCD , Randall Munroe
On Immunity by Eula Biss,On Immunity , Eula Biss
How to Lie With Statistics by Darrell Huff,How to Lie With Statistics , Darrell Huff
Should We Eat Meat? by Vaclav Smil,Should We Eat Meat? , Vaclav Smil
Capital in the Twenty-First Century by Thomas Piketty,Capital in the Twenty-First Century , Thomas Piketty
How Asia Works by Joe Studwell,How Asia Works , Joe Studwell
The Rosie Effect by Graeme Simsion,The Rosie Effect , Graeme Simsion
Making the Modern World: Materials and Dematerialization by Vaclav Smil,Making the Modern World: Materials and Dematerialization , Vaclav Smil
Business Adventures by John Brooks.,Business Adventures , John Brooks.
Stress Test by Timothy F. Geithner,Stress Test , Timothy F. Geithner
"The Bully Pulpit: Theodore Roosevelt, William Howard Taft, and the Golden Age of Journalism by Doris Kearns Goodwin.","The Bully Pulpit: Theodore Roosevelt, William Howard Taft, and the Golden Age of Journalism ", Doris Kearns Goodwin.
Team of Rivals by Doris Kearns Goodwin,Team of Rivals , Doris Kearns Goodwin
The Rosie Project by Graeme Simsion,The Rosie Project , Graeme Simsion
The Sixth Extinction: An Unnatural History by Elizabeth Kolbert,The Sixth Extinction: An Unnatural History , Elizabeth Kolbert
Reinventing American Health Care by Ezekiel J. Emanuel,Reinventing American Health Care , Ezekiel J. Emanuel
The Box by Marc Levinson,The Box , Marc Levinson
The Most Powerful Idea in the World by William Rosen,The Most Powerful Idea in the World , William Rosen
Harvesting the Biosphere by Vaclav Smil,Harvesting the Biosphere , Vaclav Smil
The World Until Yesterday by Jared Diamond,The World Until Yesterday , Jared Diamond
Poor Numbers by Morten Jerven,Poor Numbers , Morten Jerven
Why Does College Cost So Much? by Robert B. Archibald and David H. Feldman,Why Does College Cost So Much? , Robert B. Archibald and David H. Feldman
The Bet by Paul Sabin,The Bet , Paul Sabin
The World Until Yesterday: What Can We Learn from Traditional Societies? by Jared Diamond,The World Until Yesterday: What Can We Learn from Traditional Societies? , Jared Diamond
The Box: How the Shipping Container Made the World Smaller and the World Economy Bigger by Marc Levinson,The Box: How the Shipping Container Made the World Smaller and the World Economy Bigger , Marc Levinson
However Long the Night: Molly Melching’s Journey to Help Millions of African Women and Girls by Aimee Molloy,However Long the Night: Molly Melching’s Journey to Help Millions of African Women and Girls , Aimee Molloy
"How Children Succeed: Grit, Curiosity, and the Hidden Power of Character by Paul Tough","How Children Succeed: Grit, Curiosity, and the Hidden Power of Character ", Paul Tough
"Japan’s Dietary Transition and Its Impacts (Food, Health, and the Environment) by Vaclav Smil and Kazuhiko Kobayashi","Japan’s Dietary Transition and Its Impacts (Food, Health, and the Environment) ", Vaclav Smil and Kazuhiko Kobayashi
Made in the USA: The Rise and Retreat of American Manufacturing by Vaclav Smil,Made in the USA: The Rise and Retreat of American Manufacturing , Vaclav Smil
Whistling Vivaldi: How Stereotypes Affect Us and What We Can Do (Issues of Our Time) by Claude Steele,Whistling Vivaldi: How Stereotypes Affect Us and What We Can Do (Issues of Our Time) , Claude Steele
Patriot and Assassin by Robert Cook,Patriot and Assassin , Robert Cook
Moonwalking with Einstein by Joshua Foer,Moonwalking with Einstein , Joshua Foer
One Billion Hungry: Can We Feed the World? by Gordon Conway,One Billion Hungry: Can We Feed the World? , Gordon Conway
A World-Class Education by Vivien Stewart,A World-Class Education , Vivien Stewart
Academically Adrift by Richard Arum & Josipa Roksa,Academically Adrift , Richard Arum & Josipa Roksa
This Time is Different: Eight Centuries of Financial Folly by Carmen Reinhart & Kenneth Rogoff,This Time is Different: Eight Centuries of Financial Folly , Carmen Reinhart & Kenneth Rogoff
The City that Became Safe: New York’s Lessons for Urban Crime and Its Control by Franklin Zimring,The City that Became Safe: New York’s Lessons for Urban Crime and Its Control , Franklin Zimring
The Better Angels of Our Nature by Steven Pinker,The Better Angels of Our Nature , Steven Pinker
The Quest by Daniel Yergin,The Quest , Daniel Yergin
Deng Xiaoping and the Transformation of China by Ezra Vogel,Deng Xiaoping and the Transformation of China , Ezra Vogel
The Cost of Hope by Amanda Bennett,The Cost of Hope , Amanda Bennett
Behind the Beautiful Forevers by Katherine Boo,Behind the Beautiful Forevers , Katherine Boo
Limits to Growth: The 30-Year Update by Donella Meadows,Limits to Growth: The 30-Year Update , Donella Meadows
Abundance: The Future is Better Than You Think by Peter Diamandis and Steven Kotler,Abundance: The Future is Better Than You Think , Peter Diamandis and Steven Kotler
"Thinking, Fast and Slow by Daniel Kahneman","Thinking, Fast and Slow ", Daniel Kahneman
The Man Who Stayed Behind by Amanda Bennett,The Man Who Stayed Behind , Amanda Bennett
